EDO26151	SINLEJ012179
EDO26154	SINLEJ016509
EDO26175	SINLEJ004179
EDO26180	SINLEJ007731
EDO26185	SINLEJ018738
EDO26186	SINLEJ013045
EDO26218	SINLEJ011363
EDO26227	SINLEJ011703
EDO26244	SINLEJ019243
EDO26260	SINLEJ010841
EDO26281	SINLEJ019214
EDO26294	SINLEJ004330
EDO26294	SINLEJ009847
EDO26298	SINLEJ014820
EDO26317	SINLEJ000717
EDO26318	SINLEJ008977
EDO26320	SINLEJ003393
EDO26320	SINLEJ013876
EDO26327	SINLEJ014526
EDO26332	SINLEJ015744
EDO26349	SINLEJ014673
EDO26353	SINLEJ016419
EDO26355	SINLEJ013345
EDO26355	SINLEJ013346
EDO26355	SINLEJ013348
EDO26355	SINLEJ013349
EDO26360	SINLEJ007820
EDO26366	SINLEJ012648
EDO26384	SINLEJ016468
EDO26384	SINLEJ009610
EDO26406	SINLEJ006882
EDO26406	SINLEJ015244
EDO26406	SINLEJ006881
EDO26406	SINLEJ015243
EDO26410	SINLEJ013494
EDO26410	SINLEJ012767
EDO26415	SINLEJ013596
EDO26426	SINLEJ003060
EDO26436	SINLEJ016167
EDO26438	SINLEJ008193
EDO26443	SINLEJ014645
EDO26444	SINLEJ012340
EDO26451	SINLEJ010885
EDO26464	SINLEJ009782
EDO26466	SINLEJ015575
EDO26480	SINLEJ001974
EDO26481	SINLEJ017922
EDO26507	SINLEJ015752
EDO26533	SINLEJ009578
EDO26552	SINLEJ018798
EDO26552	SINLEJ016342
EDO26564	SINLEJ014587
EDO26570	SINLEJ007342
EDO26575	SINLEJ002837
EDO26590	SINLEJ004564
EDO26649	SINLEJ007678
EDO26649	SINLEJ007679
EDO26649	SINLEJ007680
EDO26650	SINLEJ008281
EDO26650	SINLEJ011448
EDO26658	SINLEJ013882
EDO26662	SINLEJ000424
EDO26667	SINLEJ005498
EDO26680	SINLEJ006649
EDO26685	SINLEJ018085
EDO26719	SINLEJ003355
EDO26719	SINLEJ600305
EDO26727	SINLEJ008366
EDO26759	SINLEJ012992
EDO26770	SINLEJ002996
EDO26770	SINLEJ004021
EDO26785	SINLEJ006427
EDO26819	SINLEJ016860
EDO26824	SINLEJ016782
EDO26824	SINLEJ018508
EDO26829	SINLEJ008485
EDO26832	SINLEJ015561
EDO26849	SINLEJ001883
EDO26857	SINLEJ600001
EDO26861	SINLEJ018417
EDO26875	SINLEJ003292
EDO26879	SINLEJ014046
EDO26879	SINLEJ012526
EDO26879	SINLEJ014591
EDO26879	SINLEJ018284
EDO26885	SINLEJ001181
EDO26894	SINLEJ010684
EDO26902	SINLEJ012204
EDO26908	SINLEJ018346
EDO26908	SINLEJ018348
EDO26909	SINLEJ006476
EDO26909	SINLEJ003012
EDO26909	SINLEJ016893
EDO26909	SINLEJ011017
EDO26921	SINLEJ011569
EDO26927	SINLEJ000256
EDO26933	SINLEJ009883
EDO26953	SINLEJ012022
EDO26963	SINLEJ018400
EDO26972	SINLEJ005563
EDO26980	SINLEJ000090
EDO26992	SINLEJ008823
EDO27017	SINLEJ600047
EDO27021	SINLEJ011828
EDO27024	SINLEJ013570
EDO27025	SINLEJ011239
EDO27025	SINLEJ008765
EDO27045	SINLEJ001202
EDO27065	SINLEJ001069
EDO27071	SINLEJ003964
EDO27075	SINLEJ004367
EDO27077	SINLEJ013691
EDO27079	SINLEJ007841
EDO27102	SINLEJ009264
EDO27102	SINLEJ013993
EDO27111	SINLEJ014621
EDO27112	SINLEJ000791
EDO27112	SINLEJ006113
EDO27115	SINLEJ017770
EDO27116	SINLEJ015349
EDO27116	SINLEJ600040
EDO27116	SINLEJ013859
EDO27141	SINLEJ012474
EDO27141	SINLEJ010029
EDO27152	SINLEJ016027
EDO27152	SINLEJ016028
EDO27156	SINLEJ019351
EDO27161	SINLEJ009183
EDO27161	SINLEJ013119
EDO27163	SINLEJ010465
EDO27169	SINLEJ012381
EDO27241	SINLEJ000535
EDO27251	SINLEJ017852
EDO27253	SINLEJ015713
EDO27257	SINLEJ011766
EDO27257	SINLEJ013311
EDO27257	SINLEJ014800
EDO27257	SINLEJ002950
EDO27274	SINLEJ017506
EDO27285	SINLEJ000490
EDO27285	SINLEJ007754
EDO27295	SINLEJ000736
EDO27295	SINLEJ001277
EDO27296	SINLEJ010936
EDO27299	SINLEJ000782
EDO27302	SINLEJ008791
EDO27303	SINLEJ008663
EDO27331	SINLEJ010759
EDO27331	SINLEJ003663
EDO27335	SINLEJ002957
EDO27335	SINLEJ004836
EDO27335	SINLEJ006457
EDO27348	SINLEJ019041
EDO27350	SINLEJ005353
EDO27353	SINLEJ009275
EDO27366	SINLEJ017372
EDO27366	SINLEJ017822
EDO27372	SINLEJ003981
EDO27386	SINLEJ016421
EDO27387	SINLEJ008841
EDO27408	SINLEJ015087
EDO27411	SINLEJ010384
EDO27415	SINLEJ005274
EDO27416	SINLEJ000277
EDO27430	SINLEJ600056
EDO27464	SINLEJ008533
EDO27472	SINLEJ004276
EDO27474	SINLEJ007899
EDO27481	SINLEJ014483
EDO27481	SINLEJ006454
EDO27481	SINLEJ000498
EDO27481	SINLEJ010921
EDO27492	SINLEJ009439
EDO27492	SINLEJ009438
EDO27494	SINLEJ014788
EDO27509	SINLEJ011632
EDO27514	SINLEJ016163
EDO27517	SINLEJ004515
EDO27524	SINLEJ005210
EDO27524	SINLEJ017177
EDO27525	SINLEJ016792
EDO27525	SINLEJ016791
EDO27532	SINLEJ013326
EDO27548	SINLEJ005777
EDO27548	SINLEJ019200
EDO27563	SINLEJ009352
EDO27570	SINLEJ013034
EDO27570	SINLEJ013039
EDO27574	SINLEJ015658
EDO27582	SINLEJ016900
EDO27588	SINLEJ011985
EDO27592	SINLEJ017752
EDO27598	SINLEJ014890
EDO27623	SINLEJ007688
EDO27628	SINLEJ016593
EDO27635	SINLEJ002161
EDO27650	SINLEJ010052
EDO27661	SINLEJ000188
EDO27663	SINLEJ018030
EDO27673	SINLEJ010782
EDO27699	SINLEJ008329
